"","NU_ANO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"1",2013,65,0.738461538461539,0.261538461538462,48,17,0.476923076923077,0,0.261538461538462,0.0153846153846154,0.0153846153846154,0.230769230769231,31,0,17,1,1,15
"2",2014,61,0.901639344262295,0.0819672131147541,55,5,0.0819672131147541,0.0327868852459016,0.311475409836066,0.0327868852459016,0.0655737704918033,0.475409836065574,5,2,19,2,4,29
"3",2015,76,0.868421052631579,0.131578947368421,66,10,0.0921052631578947,0.171052631578947,0.407894736842105,0,0.0526315789473684,0.276315789473684,7,13,31,0,4,21
"4",2016,64,0.890625,0.109375,57,7,0.125,0,0.25,0,0.109375,0.515625,8,0,16,0,7,33
"5",2017,151,0.841059602649007,0.152317880794702,127,23,0.0728476821192053,0.0264900662251656,0.317880794701987,0.0132450331125828,0.0529801324503311,0.516556291390728,11,4,48,2,8,78
"6",2018,191,0.93717277486911,0.06282722513089,179,12,0.230366492146597,0.0471204188481675,0.403141361256544,0.0104712041884817,0.031413612565445,0.277486910994764,44,9,77,2,6,53
"7",2019,193,0.860103626943005,0.139896373056995,166,27,0.077720207253886,0.00518134715025907,0.409326424870466,0.00518134715025907,0.0621761658031088,0.440414507772021,15,1,79,1,12,85
"8",2020,56,0.875,0.125,49,7,0.0357142857142857,0.0357142857142857,0.607142857142857,0,0.0357142857142857,0.285714285714286,2,2,34,0,2,16
"9",2021,118,0.923728813559322,0.076271186440678,109,9,0.076271186440678,0.00847457627118644,0.38135593220339,0.00847457627118644,0.110169491525424,0.415254237288136,9,1,45,1,13,49
"10",2022,172,0.883720930232558,0.11046511627907,152,19,0.162790697674419,0.0116279069767442,0.343023255813953,0.0232558139534884,0.0523255813953488,0.406976744186047,28,2,59,4,9,70
"11",2023,311,0.816720257234727,0.183279742765273,254,57,0.0321543408360129,0.00643086816720257,0.35048231511254,0.0192926045016077,0.067524115755627,0.520900321543408,10,2,109,6,21,162
"12",2024,426,0.802816901408451,0.197183098591549,342,84,0.039906103286385,0.0117370892018779,0.352112676056338,0.00704225352112676,0.0821596244131455,0.5,17,5,150,3,35,213
"13",2025,234,0.837606837606838,0.162393162393162,196,38,0.0341880341880342,0.00854700854700855,0.35042735042735,0.0128205128205128,0.0854700854700855,0.508547008547009,8,2,82,3,20,119
